zipcode,state,total_population,total_properties,fema_properties_at_risk_2020_total,fema_properties_at_risk_2020_pct,fs_properties_at_risk_2020_total,fs_properties_at_risk_2020_pct,fs_properties_at_risk_2035_total,fs_properties_at_risk_2035_pct,fs_properties_at_risk_2050_total,fs_properties_at_risk_2050_pct,fs_fema_difference_2020_total,fs_fema_difference_2020_pct,gisjoin,year,name_e,white_pop,black_pop,white_pct,black_pct
33615,fl,45851,13969,7763,55.6,11555,82.7,11924,85.4,12292,88,3792,48.8,G33615,2014-2018,ZCTA5 33615,35448,3971,77.31129092059061,8.660661708577784
78382,tx,21578,18788,5167,27.5,8950,47.6,9585,51,10220,54.4,3783,73.2,G78382,2014-2018,ZCTA5 78382,19292,379,89.40587635554732,1.7564185744740013
34446,fl,16647,13744,736,5.4,4480,32.6,5828,42.4,7176,52.2,3744,508.7,G34446,2014-2018,ZCTA5 34446,15864,193,95.29644981077672,1.1593680543040787
35601,al,32666,14960,871,5.8,4583,30.6,4634,31,4684,31.3,3712,426.2,G35601,2014-2018,ZCTA5 35601,20200,8714,61.83799669381008,26.676054613359458
88260,nm,15142,8342,394,4.7,4096,49.1,4136,49.6,4175,50,3702,939.6,G88260,2014-2018,ZCTA5 88260,13647,229,90.12679963016774,1.512349755646546
28714,nc,17044,15177,592,3.9,4281,28.2,4318,28.5,4356,28.7,3689,623.1,G28714,2014-2018,ZCTA5 28714,16406,129,96.25674724243136,0.7568645857779864
97814,or,12433,8779,720,8.2,4404,50.2,4490,51.1,4577,52.1,3684,511.7,G97814,2014-2018,ZCTA5 97814,11441,143,92.02123381323896,1.150164883777045
65079,mo,3672,10408,905,8.7,4570,43.9,4587,44.1,4604,44.2,3665,405,G65079,2014-2018,ZCTA5 65079,3580,14,97.49455337690632,0.3812636165577342
48215,mi,11979,11650,987,8.5,4648,39.9,4646,39.9,4643,39.9,3661,370.9,G48215,2014-2018,ZCTA5 48215,907,10748,7.5715836046414555,89.72368311211287
45750,oh,26906,24905,5714,22.9,9365,37.6,9395,37.7,9425,37.8,3651,63.9,G45750,2014-2018,ZCTA5 45750,25609,330,95.17951386307887,1.2264922322158627
99362,wa,41456,17863,180,1,3831,21.4,4069,22.8,4307,24.1,3651,2028.3,G99362,2014-2018,ZCTA5 99362,34891,900,84.1639328444616,2.170976456966422
94513,ca,62991,24216,504,2.1,4146,17.1,4486,18.5,4827,19.9,3642,722.6,G94513,2014-2018,ZCTA5 94513,40903,4740,64.93467320728358,7.524884507310568
33308,fl,27951,7494,2090,27.9,5726,76.4,5987,79.9,6248,83.4,3636,174,G33308,2014-2018,ZCTA5 33308,25505,564,91.24897141426067,2.0178168938499517
37643,tn,33578,17403,1227,7.1,4821,27.7,4894,28.1,4967,28.5,3594,292.9,G37643,2014-2018,ZCTA5 37643,32389,637,96.45899100601585,1.8970754660789804
48091,mi,30031,12881,0,0,3591,27.9,3636,28.2,3680,28.6,3591,Inf,G48091,2014-2018,ZCTA5 48091,17433,6834,58.050014984516,22.756484965535613
60609,il,61495,21185,0,0,3579,16.9,3886,18.3,4192,19.8,3579,Inf,G60609,2014-2018,ZCTA5 60609,27499,15198,44.717456703797055,24.714204406862347
